dteday,days,total_rentals,mean_daily_rentals
2011-01-01,31,38189,1231.9032258064517
2011-02-01,28,48215,1721.9642857142858
2011-03-01,31,64045,2065.967741935484
2011-04-01,30,94870,3162.3333333333335
2011-05-01,31,135821,4381.322580645161
2011-06-01,30,143512,4783.733333333334
2011-07-01,31,141341,4559.387096774193
2011-08-01,31,136691,4409.387096774193
2011-09-01,30,127418,4247.266666666666
2011-10-01,31,123511,3984.2258064516127
2011-11-01,30,102167,3405.5666666666666
2011-12-01,31,87323,2816.8709677419356
2012-01-01,31,96744,3120.7741935483873
2012-02-01,29,103137,3556.448275862069
2012-03-01,31,164875,5318.548387096775
2012-04-01,30,174224,5807.466666666666
2012-05-01,31,195865,6318.225806451613
2012-06-01,30,202830,6761.0
2012-07-01,31,203607,6567.967741935484
2012-08-01,31,214503,6919.451612903225
2012-09-01,30,218573,7285.766666666666
2012-10-01,31,198841,6414.225806451613
2012-11-01,30,152664,5088.8
2012-12-01,31,123713,3990.7419354838707
